instance_number,objective,number_of_runways,landing_times,runway_assignment,objective_value
1,penalty,1,"[165.0, 258.0, 98.0, 106.0, 118.0, 126.0, 134.0, 142.0, 150.0, 180.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",700.0
1,penalty,2,"[155.0, 258.0, 98.0, 106.0, 123.0, 132.0, 138.0, 140.0, 150.0, 180.0]","[0, 1, 1, 1, 1, 0, 1, 0, 1, 1]",90.0
1,penalty,3,"[155.0, 258.0, 98.0, 106.0, 123.0, 135.0, 138.0, 140.0, 150.0, 180.0]","[0, 0, 0, 0, 0, 0, 1, 2, 2, 0]",0.0
1,total_time,1,"[159.0, 195.0, 89.0, 97.0, 110.0, 120.0, 128.0, 136.0, 144.0, 174.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1352.0
1,total_time,2,"[139.0, 195.0, 89.0, 96.0, 110.0, 120.0, 124.0, 128.0, 136.0, 160.0]","[1, 1, 1, 0, 1, 0, 1, 0, 0, 0]",1297.0
1,total_time,3,"[129.0, 195.0, 89.0, 96.0, 110.0, 120.0, 124.0, 128.0, 135.0, 160.0]","[0, 0, 0, 2, 0, 2, 1, 2, 1, 0]",1286.0
1,makespan,1,"[135.0, 195.0, 89.0, 97.0, 110.0, 120.0, 150.0, 166.0, 158.0, 174.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",195.0
1,makespan,2,"[135.0, 195.0, 89.0, 96.0, 110.0, 120.0, 124.0, 132.0, 140.0, 160.0]","[1, 1, 1, 0, 1, 1, 0, 0, 0, 1]",195.0
1,makespan,3,"[129.0, 195.0, 89.0, 96.0, 110.0, 120.0, 124.0, 128.0, 136.0, 160.0]","[0, 0, 2, 0, 1, 1, 2, 1, 1, 2]",195.0
2,penalty,1,"[196.0, 250.0, 90.0, 98.0, 106.0, 122.0, 130.0, 114.0, 138.0, 151.0, 339.0, 313.0, 181.0, 171.0, 342.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1480.0
2,penalty,2,"[155.0, 250.0, 93.0, 98.0, 111.0, 120.0, 128.0, 120.0, 128.0, 151.0, 341.0, 313.0, 181.0, 171.0, 342.0]","[1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0]",210.0
